index,people
country,Philippines 
1820 to 1829,-
1830 to 1839,-
1840 to 1849,-
1850 to 1859,-
1860 to 1869,-
1870 to 1879,4
1880 to 1889,1
1890 to 1899,19
1900 to 1909,605
1910 to 1919,-
1920 to 1929,-
1930 to 1939,457
1940 to 1949,"4,099"
1950 to 1959,"17,245"
1960 to 1969,"70,660"
1970 to 1979,"  337,726 "
1980 to 1989,"  502,056 "
1990 to 1999,"  534,338 "
2000 to 2009,"  545,463 "
2010,"  56,399 "
2011,"55,251"
2012,"  55,441 "
2013,"52,955"
2014,"48,633"
2015,"54,307"
2016,"50,609"
2017,"46,542"
