country,total
China,1349
United States,767
Germany,227
Japan,207
United Kingdom,192
France,172
Russia,168
Italy,123
India,103
Turkey,100
Saudi Arabia,94
Brazil,82
Indonesia,72
Vietnam,62
Canada,62
Mexico,57
Iran,56
Netherlands,55
Austria,55
Spain,50
Poland,48
United Arab Emirates,42
Denmark,41
South Korea,41
Iraq,36
Sweden,33
Belgium,31
Venezuela,28
Australia,25
Uzbekistan,25
Kazakhstan,24
Finland,24
Philippines,21
Peru,20
Taiwan,20
Pakistan,19
Bangladesh,18
Jordan,17
Argentina,17
Switzerland,16
Colombia,15
Ukraine,14
Czech Republic,13
Algeria,13
Norway,13
Chile,12
Egypt,12
Georgia,12
Tunisia,12
Palestine,12
Malaysia,12
Hungary,11
Lebanon,11
Kuwait,11
Thailand,10
Israel,10
Myanmar,9
Belarus,9
South Africa,9
Guatemala,8
Greece,8
Ecuador,8
Azerbaijan,8
Romania,7
Nigeria,7
North Korea,7
Ireland,6
Bulgaria,6
Turkmenistan,6
Oman,6
Yemen,6
Costa Rica,5
Singapore,5
Morocco,5
Cyprus,5
Syria,5
Croatia,5
Honduras,5
New Zealand,4
Libya,4
Cuba,4
Tanzania,4
Slovenia,4
Slovakia,4
Kyrgyzstan,4
Portugal,4
Sri Lanka,4
Bolivia,3
Qatar,3
Sudan,3
Armenia,3
Nepal,2
Estonia,2
Serbia,2
Moldova,2
Cambodia,2
Mongolia,2
Andorra,2
Tajikistan,2
Angola,2
bania,1
Afghanistan,1
Senegal,1
Botswana,1
Bahrain,1
Trinidad and Tobago,1
Uruguay,1
Nicaragua,1
Haiti,1
Jamaica,1
Zambia,1
Uganda,1
Bosnia and Herzegovina,1
Malawi,1
Mauritius,1
Maldives,1
Togo,1
Rwanda,1
Brunei,1
Lithuania,1
Latvia,1
