"Ammattiryhmä","Taustamaa","Sukupuolet yhteensä 2016","Sukupuolet yhteensä 2015","Sukupuolet yhteensä 2014","Sukupuolet yhteensä 2013","Sukupuolet yhteensä 2012","Sukupuolet yhteensä 2011","Sukupuolet yhteensä 2010"
"Ammattiryhmät yhteensä","Somalia",2529,2133,1867,1840,1794,1621,1456
"0 Sotilaat (Taso 1)","Somalia",0,0,0,0,0,0,0
"01 Upseerit (Taso 2)","Somalia",0,0,0,0,0,0,0
"02 Aliupseerit (Taso 2)","Somalia",0,0,0,0,0,0,0
"03 Sotilasammattihenkilästä (Taso 2)","Somalia",0,0,0,0,0,0,0
"1 Johtajat (Taso 1)","Somalia",7,6,5,6,..,..,0
"11 Johtajat, ylimmät virkamiehet ja järjestäjen johtajat (Taso 2)","Somalia",..,..,..,0,0,0,0
"12 Hallintojohtajat ja kaupalliset johtajat (Taso 2)","Somalia",..,..,..,..,..,..,0
"13 Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat (Taso 2)","Somalia",4,4,..,5,..,0,0
"14 Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat (Taso 2)","Somalia",0,0,0,0,0,0,0
"2 Erityisasiantuntijat (Taso 1)","Somalia",207,181,147,149,142,139,119
"21 Luonnontieteiden ja tekniikan erityisasiantuntijat (Taso 2)","Somalia",11,14,9,11,11,10,9
"22 Terveydenhuollon erityisasiantuntijat (Taso 2)","Somalia",19,17,15,10,7,9,7
"23 Opettajat ja muut opetusalan erityisasiantuntijat (Taso 2)","Somalia",50,45,37,44,45,41,38
"24 Liike-elämän ja hallinnon erityisasiantuntijat (Taso 2)","Somalia",9,5,3,6,8,10,8
"25 Tieto- ja viestintäteknologian erityisasiantuntijat (Taso 2)","Somalia",6,5,5,4,..,0,..
"26 Lainopilliset, sosiaalialan ja kulttuurialan erityisasiantuntijat (Taso 2)","Somalia",112,95,78,74,69,69,55
"3 Asiantuntijat (Taso 1)","Somalia",181,169,138,124,115,110,112
"31 Luonnontieteiden ja tekniikan asiantuntijat (Taso 2)","Somalia",8,10,10,11,6,7,8
"32 Terveydenhuollon asiantuntijat (Taso 2)","Somalia",49,45,39,33,30,27,23
"33 Liike-elämän ja hallinnon asiantuntijat (Taso 2)","Somalia",22,18,16,11,15,16,16
"34 Lainopilliset avustajat sekä sosiaali- ja kulttuurialan asiantuntijat (Taso 2)","Somalia",96,91,67,65,55,54,59
"35 Informaatio- ja tietoliikenneteknologian asiantuntijat (Taso 2)","Somalia",6,5,6,4,9,6,6
"4 Toimisto- ja asiakaspalvelutyäntekijät (Taso 1)","Somalia",165,147,133,159,154,139,155
"41 Toimistotyäntekijät (Taso 2)","Somalia",35,25,20,37,20,11,28
"42 Asiakaspalvelutyäntekijät (Taso 2)","Somalia",21,16,13,14,25,25,13
"43 Laskennan ja varastoinnin toimistotyäntekijät (Taso 2)","Somalia",13,7,9,8,6,3,4
"44 Muut toimisto- ja asiakaspalvelutyäntekijät (Taso 2)","Somalia",96,99,91,100,103,100,110
"5 Palvelu- ja myyntityäntekijät (Taso 1)","Somalia",673,552,484,470,494,430,432
"51 Palvelutyäntekijät (Taso 2)","Somalia",54,40,47,39,45,35,37
"52 Myyjät, kauppiaat ym. (Taso 2)","Somalia",96,71,81,84,75,81,61
"53 Hoivapalvelun ja terveydenhuollon tyäntekijät (Taso 2)","Somalia",495,417,341,335,360,306,322
"54 Suojelu- ja vartiointityäntekijät (Taso 2)","Somalia",28,24,15,12,14,8,12
"6 Maanviljelijät, metsätyäntekijät ym. (Taso 1)","Somalia",..,0,..,3,4,..,0
"61 Maanviljelijät ja eläintenkasvattajat ym. (Taso 2)","Somalia",..,0,..,3,4,..,0
"62 Metsä- ja kalatalouden tyäntekijät (Taso 2)","Somalia",..,0,0,0,0,0,0
"7 Rakennus-, korjaus- ja valmistustyäntekijät (Taso 1)","Somalia",94,64,49,51,56,46,42
"71 Rakennustyäntekijät ym. (pl. sähkäasentajat) (Taso 2)","Somalia",31,17,10,9,15,10,7
"72 Konepaja- ja valimotyäntekijät sekä asentajat ja korjaajat (Taso 2)","Somalia",31,17,16,21,17,16,12
"73 Käsityätuotteiden valmistajat, hienomekaanikot sekä painoalan tyäntekijät (Taso 2)","Somalia",4,4,..,0,..,0,0
"74 Sähkä- ja elektroniikka-alan tyäntekijät (Taso 2)","Somalia",25,23,22,21,23,19,21
"75 Elintarvike-, puutyä- ja vaatetus- ja jalkinealan valmistustyäntekijät ym. (Taso 2)","Somalia",3,3,0,0,0,..,..
"8 Prosessi- ja kuljetustyäntekijät (Taso 1)","Somalia",481,404,389,352,318,247,199
"81 Prosessityäntekijät (Taso 2)","Somalia",36,27,30,27,35,24,16
"82 Teollisuustuotteiden kokoonpanijat (Taso 2)","Somalia",..,6,10,6,4,7,7
"83 Kuljetustyäntekijät (Taso 2)","Somalia",443,371,349,319,279,216,176
"9 Muut tyäntekijät (Taso 1)","Somalia",501,430,414,441,414,406,344
"91 Siivoojat, kotiapulaiset ja muut puhdistustyäntekijät (Taso 2)","Somalia",341,288,288,305,271,254,244
"92 Maa-, metsä- ja kalatalouden avustavat tyäntekijät (Taso 2)","Somalia",0,0,0,0,0,0,0
"93 Teollisuuden ja rakentamisen avustavat tyäntekijät (Taso 2)","Somalia",107,90,84,97,96,101,77
"94 Avustavat keittiä- ja ruokatyäntekijät (Taso 2)","Somalia",28,26,26,20,27,19,12
"95 Katumyyjät, kengänkiillottajat ym. (Taso 2)","Somalia",7,..,..,..,3,..,..
"96 Katujen puhtaanapidon ja jätehuollon tyäntekijät ym. (Taso 2)","Somalia",18,24,15,17,17,30,9
"X Tuntematon (Taso 1)","Somalia",218,180,107,85,95,102,53
"XX Tuntematon (Taso 2)","Somalia",218,180,107,85,95,102,53
