"018 -- Työlliset ammattiryhmän (AML 2010, tasot 1-2), taustamaan, sukupuolen ja vuoden mukaan 2010-2016"

"Ammattiryhmä";"Taustamaa";"Sukupuolet yhteensä 2016";"Sukupuolet yhteensä 2015";"Sukupuolet yhteensä 2014";"Sukupuolet yhteensä 2013";"Sukupuolet yhteensä 2012";"Sukupuolet yhteensä 2011";"Sukupuolet yhteensä 2010"
"Ammattiryhmät yhteensä";"ULKOMAALAISTAUSTAISET YHTEENSÄ";133454;124020;119048;114324;109388;101300;90855
"0 Sotilaat (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";33;23;21;23;22;14;19
"01 Upseerit (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";12;10;5;5;8;5;6
"02 Aliupseerit (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";21;13;16;17;11;8;9
"03 Sotilasammattihenkilöstö (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";0;0;0;..;3;..;4
"1 Johtajat (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2914;2709;2776;2470;1849;1743;1620
"11 Johtajat, ylimmät virkamiehet ja järjestöjen johtajat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";121;96;97;70;62;63;67
"12 Hallintojohtajat ja kaupalliset johtajat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";701;694;699;654;616;658;593
"13 Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1156;1056;1232;1131;736;626;565
"14 Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";936;863;748;615;435;396;395
"2 Erityisasiantuntijat (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";21308;19813;18928;17940;16971;16084;14960
"21 Luonnontieteiden ja tekniikan erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";4276;4091;4181;3905;3519;3231;3119
"22 Terveydenhuollon erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2501;2432;2387;2187;2037;1874;1691
"23 Opettajat ja muut opetusalan erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";5638;5423;5250;5352;5232;4785;4515
"24 Liike-elämän ja hallinnon erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2440;2290;2266;2192;2166;2048;1798
"25 Tieto- ja viestintäteknologian erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";3569;2980;2423;2089;1913;2142;1878
"26 Lainopilliset, sosiaalialan ja kulttuurialan erityisasiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2884;2597;2421;2215;2104;2004;1959
"3 Asiantuntijat (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";12242;11328;11255;11039;10783;9705;9150
"31 Luonnontieteiden ja tekniikan asiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2218;1973;2058;2122;2151;2006;1955
"32 Terveydenhuollon asiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2589;2517;2392;2202;2021;1771;1528
"33 Liike-elämän ja hallinnon asiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";4588;4231;4174;4235;4115;3921;3555
"34 Lainopilliset avustajat sekä sosiaali- ja kulttuurialan asiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";2031;1821;1567;1465;1405;1252;1398
"35 Informaatio- ja tietoliikenneteknologian asiantuntijat (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";816;786;1064;1015;1091;755;714
"4 Toimisto- ja asiakaspalvelutyöntekijät (Taso 1)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";5104;4772;4850;5014;4912;4769;4472
"41 Toimistotyöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1457;1381;1466;1521;1509;1793;1864
"42 Asiakaspalvelutyöntekijät (Taso 2)";"ULKOMAALAISTAUSTAISET YHTEENSÄ";1137;1065;1047;1078;1058;956;876
